epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82449,4.48729,8.74047,4.4031,4.45823,0,0,0,0,0,0,0,0,4.41745,4.01856,3.48341,4.07636,0,0,0
2,6.67567,3.85586,6.03432,4.02067,4.18828,0,0,0,0,0,0,0,0,4.44869,4.06598,3.50069,4.09361,1.63399e-05,1.63399e-05,1.63399e-05
3,7.23161,3.80203,6.56616,6.37114,3.96352,0,0,0,0,0,0,0,0,4.49448,4.11262,3.52776,4.11309,3.20197e-05,3.20197e-05,3.20197e-05
4,7.78892,4.38903,11.6658,6.12208,5.21247,0,0,0,0,0,0,0,0,4.50546,4.1745,3.55869,4.12864,4.70394e-05,4.70394e-05,4.70394e-05
5,8.38922,3.86727,6.51663,5.10583,3.17725,0,0,0,0,0,0,0,0,4.50546,4.1745,3.55869,4.12864,6.13989e-05,6.13989e-05,6.13989e-05
6,8.89129,4.6573,8.71745,4.33954,5.18659,0,0,0,0,0,0,0,0,4.49913,4.30305,3.5751,4.15052,7.50984e-05,7.50984e-05,7.50984e-05
7,9.46662,3.21062,9.28949,5.47255,3.03579,0,0,0,0,0,0,0,0,4.49913,4.30305,3.5751,4.15052,8.81376e-05,8.81376e-05,8.81376e-05
8,9.97063,3.64632,8.03501,4.09681,3.47169,0,0,0,0,0,0,0,0,4.56308,4.37295,3.60458,4.17111,0.000100517,0.000100517,0.000100517
9,10.446,2.98777,9.00277,8.9008,3.99537,0,0,0,0,0,0,0,0,4.56308,4.37295,3.60458,4.17111,0.000112236,0.000112236,0.000112236
10,11.1457,2.96639,7.12174,5.0426,2.75874,0,0,0,0,0,0,0,0,4.76404,5.60672,3.46296,4.01219,0.000123295,0.000123295,0.000123295
11,11.9747,4.79025,6.11178,10.1963,5.39029,0,0,0,0,0,0,0,0,4.76404,5.60672,3.46296,4.01219,0.000133693,0.000133693,0.000133693
12,12.7928,4.36108,7.46848,4.47146,3.71092,0,0,0,0,0,0,0,0,4.76404,5.60672,3.46296,4.01219,0.000143432,0.000143432,0.000143432
13,13.7119,3.60376,5.94284,4.29331,3.91844,0,0,0,0,0,0,0,0,4.5942,6.52854,3.41142,4.10194,0.00015251,0.00015251,0.00015251
14,14.5157,4.01221,5.13383,5.42671,4.38946,0,0,0,0,0,0,0,0,4.5942,6.52854,3.41142,4.10194,0.000160929,0.000160929,0.000160929
15,15.1995,5.21618,4.7558,13.0715,5.48231,0,0,0,0,0,0,0,0,4.5942,6.52854,3.41142,4.10194,0.000168687,0.000168687,0.000168687
16,16.0393,4.37782,5.21809,5.6388,5.17238,0,0,0,0,0,0,0,0,4.26555,6.86667,3.48028,3.97901,0.000175785,0.000175785,0.000175785
17,16.7936,4.95532,4.37814,11.7036,4.7718,0,0,0,0,0,0,0,0,4.26555,6.86667,3.48028,3.97901,0.000182223,0.000182223,0.000182223
18,17.5402,5.52277,3.78076,18.0841,6.75807,0,0,0,0,0,0,0,0,4.26555,6.86667,3.48028,3.97901,0.000188001,0.000188001,0.000188001
19,18.4048,3.16021,6.30671,4.32416,2.58851,0,0,0,0,0,0,0,0,4.26555,6.86667,3.48028,3.97901,0.000193119,0.000193119,0.000193119
20,19.1989,3.32648,6.59505,4.17313,3.17549,0.00239,0.5,0.01716,0.00172,0,0,0,0,4.10001,7.16945,3.4019,4.07825,0.000197576,0.000197576,0.000197576
21,19.922,2.59355,6.75296,3.8103,1.91423,0.00239,0.5,0.01716,0.00172,0,0,0,0,4.10001,7.16945,3.4019,4.07825,0.000201374,0.000201374,0.000201374
22,20.7359,4.48084,4.64018,9.61125,4.24478,0.00239,0.5,0.01716,0.00172,0,0,0,0,4.10001,7.16945,3.4019,4.07825,0.000204511,0.000204511,0.000204511
23,21.45,3.82154,4.08618,6.61242,3.55982,0.00239,0.5,0.01716,0.00172,0,0,0,0,4.10001,7.16945,3.4019,4.07825,0.000206988,0.000206988,0.000206988
24,22.2031,2.03669,4.2649,5.23506,2.1831,0,0,0,0,0,0,0,0,4.21485,7.08655,3.35757,4.17823,0.000208805,0.000208805,0.000208805
25,22.9192,2.90116,4.27257,5.12198,2.57866,0,0,0,0,0,0,0,0,4.21485,7.08655,3.35757,4.17823,0.000209962,0.000209962,0.000209962
26,23.6531,4.70374,4.62237,7.14231,4.41771,0,0,0,0,0,0,0,0,4.21485,7.08655,3.35757,4.17823,0.000210459,0.000210459,0.000210459
27,24.4917,3.50371,5.14077,4.81225,3.11584,0,0,0,0,0,0,0,0,4.21485,7.08655,3.35757,4.17823,0.000210295,0.000210295,0.000210295
28,25.1727,2.6541,4.92393,3.78442,2.47912,0,0,0,0,0,0,0,0,4.21485,7.08655,3.35757,4.17823,0.000209472,0.000209472,0.000209472
29,25.9115,2.60151,2.87985,5.30019,2.5729,0.00278,0.5,0.07107,0.01919,0,0,0,0,3.68645,6.39918,3.32787,3.99192,0.000207988,0.000207988,0.000207988
30,26.5326,2.03449,3.62032,3.85955,2.20967,0.00278,0.5,0.07107,0.01919,0,0,0,0,3.68645,6.39918,3.32787,3.99192,0.000205844,0.000205844,0.000205844
31,27.3518,2.54772,5.40472,4.36027,2.31545,0.00278,0.5,0.07107,0.01919,0,0,0,0,3.68645,6.39918,3.32787,3.99192,0.000203041,0.000203041,0.000203041
32,28.0216,2.40397,3.8337,3.84844,2.13355,0.00278,0.5,0.07107,0.01919,0,0,0,0,3.68645,6.39918,3.32787,3.99192,0.000199577,0.000199577,0.000199577
33,28.7351,2.73074,2.91457,6.38,3.10416,0.00278,0.5,0.07107,0.01919,0,0,0,0,3.68645,6.39918,3.32787,3.99192,0.000195452,0.000195452,0.000195452
34,29.5291,2.64141,3.79105,3.32147,2.34465,0.00278,0.5,0.07107,0.01919,0,0,0,0,3.68645,6.39918,3.32787,3.99192,0.000190668,0.000190668,0.000190668
35,30.296,4.18712,4.05388,6.64282,3.96858,0.00338,0.5,0.16583,0.04312,0,0,0,0,3.32696,5.25431,3.24012,3.68258,0.000185224,0.000185224,0.000185224
36,30.9386,2.15632,4.6383,3.62439,2.26154,0.00338,0.5,0.16583,0.04312,0,0,0,0,3.32696,5.25431,3.24012,3.68258,0.000179119,0.000179119,0.000179119
37,31.6547,3.08966,5.07047,3.93603,2.57667,0.00338,0.5,0.16583,0.04312,0,0,0,0,3.32696,5.25431,3.24012,3.68258,0.000172354,0.000172354,0.000172354
38,32.3787,3.70931,3.00575,5.6128,3.57942,0.00338,0.5,0.16583,0.04312,0,0,0,0,3.32696,5.25431,3.24012,3.68258,0.00016493,0.00016493,0.00016493
39,33.1568,3.51184,3.18608,5.46938,3.36472,0.00338,0.5,0.16583,0.04312,0,0,0,0,3.32696,5.25431,3.24012,3.68258,0.000156845,0.000156845,0.000156845
40,33.8361,2.26222,3.84,4.02828,1.84388,0.00338,0.5,0.16583,0.04312,0,0,0,0,3.32696,5.25431,3.24012,3.68258,0.0001481,0.0001481,0.0001481
41,41.0166,4.27362,3.16189,6.8319,4.48525,0.00338,0.5,0.16583,0.04312,0,0,0,0,3.32696,5.25431,3.24012,3.68258,0.000138694,0.000138694,0.000138694
42,41.759,2.79551,3.03799,5.56338,2.93888,0.0034,0.5,0.24875,0.0995,0,0,0,0,3.01546,6.19521,3.02714,3.41032,0.000128629,0.000128629,0.000128629
